,point_idx,dist_around,center_left,center_bottom,center_right,random_up,random_right,random_bottom,center_up,random_left,dist_index_sort
147,1,7.81,11,12,3,19,6,7,20,0,26.0
148,1,10.0,11,12,3,12,1,20,20,17,39.0
149,1,5.099,11,12,3,19,2,13,20,16,13.0
150,1,8.602,11,12,3,27,2,5,20,16,29.0
151,1,13.601,11,12,3,31,8,1,20,3,70.0
152,1,8.944,11,12,3,3,3,4,20,0,30.0
153,1,6.083,11,12,3,13,0,13,20,0,17.0
154,1,15.232,11,12,3,6,1,26,20,17,78.0
155,1,7.211,11,12,3,16,1,16,20,17,23.0
156,1,10.77,11,12,3,16,4,16,20,1,45.0
157,1,4.472,11,12,3,2,7,10,20,1,7.0
158,1,12.042,11,12,3,21,15,11,20,0,54.0
159,1,7.071,11,12,3,25,2,7,20,16,20.0
160,1,11.402,11,12,3,17,5,15,20,0,51.0
161,1,14.56,11,12,3,0,11,6,20,1,74.0
162,1,13.038,11,12,3,31,7,1,20,4,65.0
163,1,3.606,11,12,3,22,0,10,20,14,2.0
164,1,9.22,11,12,3,6,5,1,20,4,31.0
165,1,20.591,11,12,3,2,17,30,20,1,95.0
166,1,4.0,11,12,3,0,7,12,20,1,4.0
167,1,16.553,11,12,3,5,0,27,20,18,80.0
168,1,10.817,11,12,3,5,9,21,20,0,47.0
169,1,14.142,11,12,3,10,0,22,20,1,73.0
170,1,11.662,11,12,3,14,4,18,20,1,52.0
171,1,14.866,11,12,3,30,11,2,20,0,75.0
172,1,5.0,11,12,3,20,2,12,20,16,8.0
173,1,23.324,11,12,3,0,19,32,20,0,98.0
174,1,18.111,11,12,3,2,5,22,20,13,86.0
175,1,16.971,11,12,3,8,2,24,20,0,82.0
176,1,18.601,11,12,3,5,1,27,20,0,89.0
177,1,22.361,11,12,3,0,17,32,20,1,97.0
178,1,16.971,11,12,3,8,2,24,20,0,82.0
179,1,13.038,11,12,3,13,5,19,20,0,65.0
180,1,10.296,11,12,3,5,8,1,20,0,42.0
181,1,9.487,11,12,3,11,0,21,20,14,34.0
182,1,9.434,11,12,3,25,8,7,20,3,33.0
183,1,10.198,11,12,3,18,4,14,20,1,40.0
184,1,8.485,11,12,3,14,1,18,20,17,28.0
185,1,9.899,11,12,3,13,0,19,20,18,37.0
186,1,5.385,11,12,3,15,1,9,20,13,15.0
187,1,12.207,11,12,3,10,0,22,20,18,59.0
188,1,12.207,11,12,3,30,7,2,20,4,59.0
189,1,11.18,11,12,3,10,5,2,20,0,49.0
190,1,13.416,11,12,3,26,12,6,20,0,68.0
191,1,9.487,11,12,3,6,3,15,20,2,34.0
192,1,4.123,11,12,3,1,7,11,20,1,5.0
193,1,20.248,11,12,3,3,1,29,20,0,93.0
194,1,5.0,11,12,3,15,3,17,20,11,8.0
195,1,10.63,11,12,3,12,0,20,20,18,43.0
196,1,5.831,11,12,3,17,2,15,20,16,16.0
197,1,19.698,11,12,3,2,15,30,20,3,90.0
198,1,13.038,11,12,3,27,11,5,20,0,65.0
199,1,16.553,11,12,3,5,0,27,20,18,80.0
200,2,18.439,14,29,4,15,5,17,3,0,53.0
201,2,6.708,14,29,4,0,10,6,3,2,24.0
202,2,2.828,14,29,4,5,6,18,3,12,9.0
203,2,4.0,14,29,4,3,0,29,3,18,14.0
204,2,28.018,14,29,4,6,3,1,3,0,89.0
205,2,2.0,14,29,4,3,6,20,3,12,2.0
206,2,29.017,14,29,4,1,5,0,3,13,92.0
207,2,2.236,14,29,4,5,3,2,3,0,6.0
208,2,22.672,14,29,4,20,15,12,3,0,73.0
209,2,22.023,14,29,4,20,14,12,3,0,70.0
210,2,5.831,14,29,4,8,3,24,3,11,21.0
211,2,26.926,14,29,4,28,7,4,3,4,87.0
212,2,5.385,14,29,4,8,2,15,3,12,19.0
213,2,23.087,14,29,4,5,4,7,3,1,78.0
214,2,24.331,14,29,4,7,1,5,3,10,84.0
215,2,1.414,14,29,4,4,5,20,3,13,1.0
216,2,23.77,14,29,4,6,3,6,3,2,81.0
217,2,3.606,14,29,4,1,1,31,3,17,12.0
218,2,23.022,14,29,4,22,13,10,3,1,77.0
219,2,23.087,14,29,4,5,4,7,3,1,78.0
220,2,8.544,14,29,4,0,12,2,3,0,28.0
221,2,11.314,14,29,4,5,8,1,3,0,39.0
222,2,22.204,14,29,4,25,1,7,3,17,72.0
223,2,29.12,14,29,4,11,5,1,3,0,93.0
224,2,20.1,14,29,4,23,2,0,3,12,62.0
225,2,11.18,14,29,4,5,1,27,3,3,38.0
226,2,26.306,14,29,4,9,1,3,3,10,86.0
227,2,19.235,14,29,4,22,1,10,3,17,57.0
228,2,26.249,14,29,4,8,5,4,3,0,85.0
229,2,20.125,14,29,4,15,9,11,3,0,63.0
230,2,19.416,14,29,4,2,4,10,3,10,60.0
231,2,18.0,14,29,4,21,0,11,3,14,51.0
232,2,10.198,14,29,4,13,2,19,3,16,33.0
233,2,18.111,14,29,4,21,2,2,3,12,52.0
234,2,10.296,14,29,4,7,5,0,3,4,35.0
235,2,16.0,14,29,4,19,0,13,3,14,46.0
236,2,13.038,14,29,4,2,17,30,3,1,41.0
237,2,14.318,14,29,4,9,0,23,3,1,43.0
238,2,21.0,14,29,4,24,0,8,3,14,66.0
239,2,21.095,14,29,4,24,2,8,3,16,67.0
240,2,10.0,14,29,4,5,6,1,3,2,32.0
241,2,9.055,14,29,4,12,1,12,3,13,30.0
242,2,15.0,14,29,4,1,12,20,3,2,45.0
243,2,1.0,14,29,4,3,3,4,3,0,0.0
244,2,3.0,14,29,4,6,4,26,3,14,10.0
245,2,16.553,14,29,4,10,2,22,3,0,49.0
246,2,7.616,14,29,4,0,11,2,3,1,26.0
247,2,9.22,14,29,4,3,7,3,3,1,31.0
248,2,17.117,14,29,4,20,2,3,3,12,50.0
249,2,5.385,14,29,4,1,9,1,3,4,19.0
250,2,10.198,14,29,4,13,2,10,3,12,33.0
251,2,22.804,14,29,4,5,3,7,3,2,74.0
252,2,21.84,14,29,4,4,3,8,3,2,69.0
253,2,29.12,14,29,4,11,5,1,3,0,93.0
254,2,11.0,14,29,4,14,0,18,3,14,37.0
255,2,22.091,14,29,4,25,2,7,3,16,71.0
256,2,2.236,14,29,4,1,5,23,3,13,6.0
257,2,22.804,14,29,4,5,3,7,3,2,74.0
258,2,4.123,14,29,4,7,3,0,3,0,16.0
259,2,4.472,14,29,4,7,2,25,3,16,18.0
260,2,22.804,14,29,4,21,14,11,3,0,74.0
261,2,5.831,14,29,4,8,1,24,3,17,21.0
262,2,16.031,14,29,4,19,1,5,3,13,47.0
263,2,27.0,14,29,4,30,4,2,3,14,88.0
264,2,18.974,14,29,4,1,6,11,3,2,55.0
265,2,7.28,14,29,4,10,2,22,3,16,25.0
266,2,21.633,14,29,4,10,12,11,3,2,68.0
267,2,29.411,14,29,4,25,6,1,3,0,96.0
268,2,8.246,14,29,4,11,2,21,3,16,27.0
269,2,30.463,14,29,4,20,9,1,3,2,97.0
270,2,19.723,14,29,4,20,10,12,3,4,61.0
271,2,4.123,14,29,4,2,0,30,3,18,16.0
272,2,30.887,14,29,4,30,12,2,3,0,99.0
